abel	0.5656742556917689
addinsell	0.882661996497373
alain	0.8949211908931699
albeniz	0.8056042031523643
albinoni	0.4746059544658494
albrechtsberger	0.5884413309982487
allwood	0.9632224168126094
anglebert	0.4010507880910683
anonym	0.1786339754816112
arriaga	0.7110332749562172
bacewitz	0.8914185639229422
bach	0.4115586690017513
bach-busoni	0.8161120840630472
bach-j-c	0.5866900175131349
bach-jcf	0.5814360770577933
bach-karageanes	0.4115586690017513
bach-liszt	0.7197898423817863
bach-oguri	0.4115586690017513
balakirev	0.7653239929947461
barber	0.8931698774080561
barbieri	0.7408056042031523
barnhouse	0.8143607705779334
bartok	0.8423817863397548
battiferri	0.3502626970227671
beethoven	0.647985989492119
beethoven-liszt	0.7197898423817863
beethoven-saint-saens	0.7618213660245184
berlioz	0.7057793345008757
bernstein	0.9071803852889668
bizet	0.7670753064798599
bloch	0.840630472854641
blow	0.436077057793345
boellman	0.809106830122592
boieldieu	0.6567425569176882
boyce	0.5446584938704028
brahms-karageanes	0.7583187390542907
breton	0.7880910683012259
britten	0.8984238178633975
brouwer	0.9422066549912436
bruch	0.7670753064798599
bruckner	0.7425569176882661
bruhns	0.4640980735551663
bull	0.2837127845884413
busoni-bach	0.8161120840630472
cabanilles	0.4273204903677758
cantallos	0.647985989492119
capirola	0.1295971978984238
capocci	0.7197898423817863
chabrier	0.7723292469352014
chapi	0.7898423817863398
cherubini	0.6304728546409807
chueca-valverde	0.8318739054290718
clerambault	0.4833625218914185
corelli	0.4430823117338003
corrette	0.5376532399299475
couppey	0.7197898423817863
czerny	0.6847635726795096
dangicourt	0.4973730297723292
daquin	0.5148861646234676
debussy-ravel	0.8318739054290718
desprez	0.0875656742556917
destouches	0.4763572679509632
distler	0.8896672504378283
dowland	0.2854640980735551
dufaut	0.3572679509632224
dufay	0.0
dupre	0.851138353765324
durufle	0.8791593695271454
dykes	0.7408056042031523
elgar	0.8003502626970228
enescu	0.8423817863397548
fairfax	0.1120840630472854
fischer	0.4483362521891418
franck	0.7390542907180385
fran�aix	0.8966725043782837
frei	0.6777583187390543
froberger	0.3782837127845884
galles	0.626970227670753
galynin	0.914185639229422
gelinek	0.626970227670753
gershwin	0.87215411558669
gibbons	0.3204903677758319
gimenez	0.7950963222416813
glazunov	0.8143607705779334
glinka	0.7075306479859895
gombert	0.1663747810858143
gossec	0.5849387040280211
graun	0.532399299474606
grieg	0.7758318739054291
guilmant	0.7653239929947461
handel-oguri	0.4991243432574431
hassler	0.287215411558669
holst	0.830122591943958
hummel	0.6619964973730298
iglo	0.9334500875656744
indy	0.7898423817863398
inglot	0.2679509632224168
isaac	0.0875656742556917
ives	0.830122591943958
janacek	0.7950963222416813
johnson	0.2539404553415061
kanno	0.978984238178634
karg	0.8353765323992994
ketelbey	0.8318739054290718
kissin	1.0
klemm	0.8704028021015762
krebs	0.5481611208406305
lalo	0.7408056042031523
lasso	0.2311733800350262
lidon	0.6094570928196147
liszt-busoni	0.7197898423817863
lully	0.4063047285464098
luther	0.1453590192644483
lutoslawsky	0.8984238178633975
mahler	0.8056042031523643
marbeck	0.1926444833625218
marcello	0.500875656742557
marchand	0.4711033274956217
maschera	0.2469352014010508
mattheson	0.4921190893169877
medtner	0.840630472854641
mendellsohn-liszt	0.7162872154115587
mendelssohn	0.7162872154115587
merulo	0.2329246935201401
messiaen	0.8896672504378283
moscheles	0.6900175131348512
moussorgski	0.7688266199649737
moussorgskij	0.7688266199649737
mouton	0.1033274956217162
mozart-l	0.6234676007005254
mozart-oguri	0.6234676007005254
rachmaninoff	0.8283712784588442
rachmaninov	0.8283712784588442
raff	0.7390542907180385
rameau	0.4956217162872154
ravel	0.8318739054290718
redford	0.1751313485113835
reinecke	0.7425569176882661
respighi	0.8388791593695272
rossi	0.297723292469352
rossini	0.6865148861646234
rossini-liszt	0.7197898423817863
saint-luc	0.3782837127845884
sanz	0.4203152364273205
scheidt	0.3274956217162872
schippers	0.9281961471103328
schlinck	0.0963222416812609
schonberg	0.830122591943958
schubert-liszt	0.7197898423817863
schumann-karageanes	0.7180385288966725
seixas	0.532399299474606
shepherd	0.201401050788091
sibelius	0.8143607705779334
sor	0.6619964973730298
soutullo-vert	0.840630472854641
spohr	0.6725043782837128
stanley	0.5464098073555166
strauss-j	0.7443082311733801
stravinsky	0.8441330998248686
stravinsky-karageanes	0.8441330998248686
tallard	0.4413309982486865
tallis	0.1838879159369527
tartini	0.51138353765324
taverner	0.1576182136602451
tchaikovsky	0.7705779334500875
tchaikovsky-grainger	0.8441330998248686
tchaikovsky-rachmaninov	0.8283712784588442
telemann	0.4921190893169877
tye	0.1838879159369527
verdi	0.723292469352014
vierne	0.8231173380035026
viraldini	0.5341506129597198
visee	0.446584938704028
vitali	0.4605954465849387
vittoria	0.2591943957968476
vivaldi	0.4868651488616462
wagner	0.723292469352014
wagner-liszt	0.7197898423817863
walter	0.1681260945709282
walther	0.4973730297723292
webern-bach	0.8458844133099825
weiss	0.500875656742557
white	0.2416812609457092
widor	0.7775831873905429
wieck	0.7338003502626971
willaert	0.1576182136602451
wolf	0.8056042031523643
zach	0.5236427320490368
zachow	0.4343257443082312
zipoli	0.4693520140105078
