files_name classifier avg_bpm_normalized avg_rhythmic_density_normalized avg_velocity_normalized bpm_stddev_normalized velocity_stddev_normalized percent_irregular_time_signature
bach-liszt_praeludium_546_(c)pepperdine.mid 2 1.1200432577604609 -0.3070263928174378 -0.0284739605270938 5.57 0.48 0.0
bach-liszt_praeludium_547_(c)pepperdine.mid 2 0.0948059833450225 -0.3117212706879218 1.1627921806360604 11.61 0.31 0.0
bach-liszt_praeludium_548_(c)pepperdine.mid 2 0.5626964646664924 -0.4596099236081772 0.8500848185807321 15.49 0.38 0.0
bach-liszt_weinen_klagen_soergen_zagen_(c)hisamori.mid 2 -1.4923075176718512 -1.4187734725481174 0.2336045905288003 12.85 0.59 0.0
bach-oguri_cantata_147_choral_(c)oguri.mid 0 0.4105074988155593 -0.8535101769418091 -0.6777140074610127 0.0 0.55 0.0
balakirev_islamey_(c)unknown.mid 2 0.093447153292782 -0.6060901131672872 0.4986613069376017 0.0 0.47 0.0
barber_violin_concerto_1_(c)siu.mid 3 -0.5019468812639192 -0.7967021547089495 0.4599451573497995 25.3 0.85 0.0541
barber_violin_concerto_3_(c)siu.mid 3 1.848829109112101 -0.9877836840376596 1.4427397238094015 31.05 1.0 0.0212
barbieri_barberillo_de_lavapies_1_(c)pajares.mid 2 0.4678048326850327 -0.3760410975135568 0.0340675118839714 14.38 0.9 0.0
barbieri_barberillo_de_lavapies_2_(c)pajares.mid 2 0.3711014273005854 -0.2765096866592896 0.7875433461696668 19.18 0.95 0.0025
barnhouse_battle_of_shiloh_(c)ko-edwards.mid 2 3.042334838329985 0.3817121907826075 -0.4841332595220003 1.86 0.55 0.0052
bartok_allegro_barbaro_(c)oguri.mid 3 0.093447153292782 0.0403945695983998 0.025133015825248 0.0 0.45 0.0
bartok_dances_populaires_roumaines_(c)oguri.mid 3 0.093447153292782 -0.2769791744463383 -0.3292686611707902 0.0 0.53 0.0
bartok_mikrokosmos_selection_1_(c)oguri.mid 3 0.093447153292782 0.2643402440205002 -0.2845961808771721 0.0 0.48 0.0
bartok_mikrokosmos_selection_2_(c)oguri.mid 3 0.093447153292782 0.3065941448548584 0.0638491654130507 0.0 0.5 0.0
bartok_music_string_celesta_2_(c)siu.mid 3 0.6378850608904651 -0.7248705232905398 0.5284429604666805 15.66 0.8 0.2956
bartok_music_string_celesta_4_(c)siu.mid 3 2.697418476736277 -0.1680580078511031 0.1174561417653926 37.61 0.75 0.1142
